Timestamp,Relative Time (s),Stress Probability (%),Latency (ms)
2025-06-18 12:47:03.303,13.723,87.13,44.50
2025-06-18 12:47:03.407,13.827,92.01,52.92
2025-06-18 12:47:03.503,13.923,95.88,45.23
2025-06-18 12:47:03.601,14.022,90.98,47.21
2025-06-18 12:47:03.698,14.119,96.10,45.67
2025-06-18 12:47:03.793,14.213,89.63,43.20
2025-06-18 12:47:03.888,14.308,94.73,43.86
2025-06-18 12:47:03.985,14.405,86.11,44.80
2025-06-18 12:47:04.084,14.504,89.80,47.91
2025-06-18 12:47:04.179,14.600,84.40,44.58
2025-06-18 12:47:04.283,14.703,91.74,52.73
2025-06-18 12:47:04.380,14.801,96.86,45.66
2025-06-18 12:47:04.476,14.896,93.56,44.42
2025-06-18 12:47:04.572,14.992,86.08,44.14
2025-06-18 12:47:04.667,15.087,84.63,44.52
2025-06-18 12:47:04.764,15.184,87.08,44.51
2025-06-18 12:47:04.860,15.280,87.64,45.78
2025-06-18 12:47:04.966,15.386,93.89,51.87
2025-06-18 12:47:05.060,15.480,86.86,43.15
2025-06-18 12:47:05.156,15.577,89.49,44.13
2025-06-18 12:47:05.251,15.671,82.34,43.72
2025-06-18 12:47:05.347,15.767,87.50,44.40
2025-06-18 12:47:05.441,15.861,87.50,43.03
2025-06-18 12:47:05.538,15.958,88.93,45.00
2025-06-18 12:47:05.642,16.062,89.44,53.09
2025-06-18 12:47:05.742,16.163,93.03,49.56
2025-06-18 12:47:05.847,16.267,90.24,54.00
2025-06-18 12:47:05.942,16.362,88.90,44.10
2025-06-18 12:47:06.038,16.459,90.61,44.79
2025-06-18 12:47:06.134,16.554,92.00,44.66
2025-06-18 12:47:06.231,16.651,95.14,45.73
2025-06-18 12:47:06.325,16.746,94.57,43.44
2025-06-18 12:47:06.421,16.842,84.63,45.12
2025-06-18 12:47:06.534,16.954,79.89,61.88
2025-06-18 12:47:06.630,17.050,89.24,44.87
2025-06-18 12:47:06.728,17.148,96.59,46.90
2025-06-18 12:47:06.822,17.242,80.71,43.00
2025-06-18 12:47:06.917,17.338,27.20,43.75
2025-06-18 12:47:07.012,17.432,88.45,43.59
2025-06-18 12:47:07.107,17.527,89.53,43.69
2025-06-18 12:47:07.212,17.632,90.74,54.51
2025-06-18 12:47:07.307,17.727,92.30,43.40
2025-06-18 12:47:07.422,17.842,92.47,63.40
2025-06-18 12:47:07.518,17.938,92.47,44.16
2025-06-18 12:47:07.618,18.038,91.84,50.21
2025-06-18 12:47:07.713,18.133,91.22,44.05
2025-06-18 12:47:07.810,18.231,90.35,45.76
2025-06-18 12:47:07.905,18.326,89.83,44.04
2025-06-18 12:47:08.002,18.422,88.35,45.84
2025-06-18 12:47:08.098,18.518,89.30,44.41
2025-06-18 12:47:08.200,18.621,90.64,50.66
2025-06-18 12:47:08.300,18.720,92.27,48.95
2025-06-18 12:47:08.394,18.814,91.80,43.28
2025-06-18 12:47:08.494,18.915,93.43,49.44
2025-06-18 12:47:08.590,19.010,91.96,44.16
2025-06-18 12:47:08.688,19.108,92.82,46.83
2025-06-18 12:47:08.782,19.202,93.81,42.97
2025-06-18 12:47:08.875,19.295,89.34,42.31
2025-06-18 12:47:08.971,19.392,89.55,45.48
2025-06-18 12:47:09.068,19.488,90.29,44.42
2025-06-18 12:47:09.176,19.596,91.13,57.07
2025-06-18 12:47:09.271,19.691,92.80,43.59
2025-06-18 12:47:09.374,19.794,93.45,51.46
2025-06-18 12:47:09.469,19.889,93.78,44.18
2025-06-18 12:47:09.566,19.986,93.45,45.71
2025-06-18 12:47:09.665,20.085,92.11,48.26
2025-06-18 12:47:09.761,20.181,91.45,44.14
2025-06-18 12:47:09.855,20.275,91.20,43.51
2025-06-18 12:47:09.949,20.369,90.29,42.79
