Timestamp,Relative Time (s),Stress Probability (%),Latency (ms)
2025-06-18 12:11:33.434,2.240,0.00,140.86
2025-06-18 12:11:33.534,2.339,0.00,48.02
2025-06-18 12:11:33.633,2.438,0.01,47.15
2025-06-18 12:11:33.732,2.538,0.00,48.30
2025-06-18 12:11:33.836,2.642,0.00,52.53
2025-06-18 12:11:33.945,2.751,0.00,58.33
2025-06-18 12:11:34.050,2.856,0.00,53.52
2025-06-18 12:11:34.152,2.958,0.00,50.39
2025-06-18 12:11:34.251,3.056,0.00,47.70
2025-06-18 12:11:34.351,3.157,0.00,49.88
2025-06-18 12:11:34.452,3.258,0.00,50.05
2025-06-18 12:11:34.558,3.364,0.00,54.78
2025-06-18 12:11:34.662,3.468,0.01,52.21
2025-06-18 12:11:34.764,3.569,0.00,50.22
2025-06-18 12:11:34.863,3.669,0.00,48.70
2025-06-18 12:11:34.963,3.769,0.00,48.46
2025-06-18 12:11:35.065,3.870,0.00,49.74
2025-06-18 12:11:35.163,3.968,0.00,47.41
2025-06-18 12:11:35.263,4.068,0.00,49.13
2025-06-18 12:11:35.361,4.167,0.00,47.19
2025-06-18 12:11:35.457,4.262,0.00,44.35
2025-06-18 12:11:35.556,4.361,0.00,47.16
2025-06-18 12:11:35.663,4.468,0.08,55.90
2025-06-18 12:11:35.760,4.566,0.03,46.09
2025-06-18 12:11:35.859,4.665,0.00,47.10
2025-06-18 12:11:35.959,4.765,0.00,48.24
2025-06-18 12:11:36.060,4.866,0.00,49.90
2025-06-18 12:11:36.163,4.969,0.00,51.15
2025-06-18 12:11:36.259,5.065,0.00,45.12
2025-06-18 12:11:36.355,5.161,0.00,44.79
2025-06-18 12:11:36.453,5.259,0.00,46.69
2025-06-18 12:11:36.553,5.359,0.00,49.07
2025-06-18 12:11:36.651,5.457,0.01,47.41
2025-06-18 12:11:36.753,5.558,0.01,50.90
2025-06-18 12:11:36.848,5.654,0.00,44.97
2025-06-18 12:11:36.945,5.751,0.00,45.81
2025-06-18 12:11:37.049,5.855,0.00,53.01
2025-06-18 12:11:37.146,5.952,0.00,45.84
2025-06-18 12:11:37.243,6.048,0.00,45.67
2025-06-18 12:11:37.339,6.145,0.00,44.87
2025-06-18 12:11:37.440,6.245,0.00,48.90
2025-06-18 12:11:37.534,6.339,0.00,43.48
2025-06-18 12:11:37.635,6.440,0.00,49.57
2025-06-18 12:11:37.734,6.540,0.01,47.84
2025-06-18 12:11:37.834,6.640,0.00,49.27
2025-06-18 12:11:37.935,6.740,0.00,49.85
2025-06-18 12:11:38.033,6.838,0.00,47.57
2025-06-18 12:11:38.143,6.948,0.00,59.36
2025-06-18 12:11:38.241,7.046,0.00,45.78
2025-06-18 12:11:38.337,7.142,0.00,44.69
2025-06-18 12:11:38.436,7.241,0.00,47.98
2025-06-18 12:11:38.533,7.339,0.00,46.22
2025-06-18 12:11:38.631,7.436,0.00,45.58
2025-06-18 12:11:38.740,7.546,0.01,51.35
2025-06-18 12:11:38.840,7.646,0.08,48.43
2025-06-18 12:11:38.943,7.749,0.00,52.38
2025-06-18 12:11:39.039,7.845,0.00,44.19
2025-06-18 12:11:39.136,7.942,0.00,45.27
2025-06-18 12:11:39.233,8.038,0.00,46.15
2025-06-18 12:11:39.332,8.138,0.00,47.88
2025-06-18 12:11:39.429,8.235,0.00,46.51
2025-06-18 12:11:39.527,8.332,0.00,46.89
2025-06-18 12:11:39.624,8.430,0.00,45.91
2025-06-18 12:11:39.725,8.530,0.08,49.56
2025-06-18 12:11:39.829,8.634,0.08,51.48
2025-06-18 12:11:39.929,8.734,0.00,48.49
2025-06-18 12:11:40.028,8.833,0.00,47.86
2025-06-18 12:11:40.122,8.927,0.00,43.26
2025-06-18 12:11:40.222,9.027,0.00,49.23
2025-06-18 12:11:40.319,9.125,0.00,46.40
2025-06-18 12:11:40.418,9.224,0.00,47.85
2025-06-18 12:11:40.515,9.321,0.00,45.69
2025-06-18 12:11:40.614,9.420,0.00,47.47
2025-06-18 12:11:40.717,9.523,0.08,51.85
2025-06-18 12:11:40.814,9.619,0.00,45.12
2025-06-18 12:11:40.912,9.718,0.00,47.67
2025-06-18 12:11:41.008,9.814,0.00,44.65
2025-06-18 12:11:41.105,9.911,0.00,45.65
2025-06-18 12:11:41.211,10.017,0.00,55.28
2025-06-18 12:11:41.313,10.119,0.00,50.05
2025-06-18 12:11:41.428,10.234,0.00,64.03
2025-06-18 12:11:41.531,10.336,0.00,52.16
2025-06-18 12:11:41.633,10.438,0.00,50.76
2025-06-18 12:11:41.736,10.542,0.00,52.52
2025-06-18 12:11:41.834,10.639,0.01,46.06
2025-06-18 12:11:41.940,10.745,0.00,54.95
2025-06-18 12:11:42.038,10.843,0.00,47.55
2025-06-18 12:11:42.137,10.943,0.00,48.45
2025-06-18 12:11:42.241,11.046,0.00,51.69
2025-06-18 12:11:42.340,11.146,0.00,49.06
2025-06-18 12:11:42.438,11.244,0.00,46.78
2025-06-18 12:11:42.533,11.339,0.00,44.54
2025-06-18 12:11:42.633,11.439,0.00,48.61
2025-06-18 12:11:42.730,11.536,0.00,46.15
2025-06-18 12:11:42.828,11.634,0.01,46.94
2025-06-18 12:11:42.926,11.732,0.08,47.04
2025-06-18 12:11:43.021,11.827,0.00,43.67
2025-06-18 12:11:43.127,11.933,0.00,54.91
2025-06-18 12:11:43.229,12.034,0.00,50.05
2025-06-18 12:11:43.441,12.247,0.00,161.50
2025-06-18 12:11:43.537,12.343,0.00,44.74
2025-06-18 12:11:43.635,12.441,0.00,46.49
2025-06-18 12:11:43.735,12.541,0.00,48.78
