Timestamp,Stress Probability (%),Key Pressed,Latency (ms)
13:05:2025:23:13:52,0.00%,Space,49.460
13:05:2025:23:13:52,0.08%,Space,46.038
13:05:2025:23:13:52,0.00%,Space,44.595
13:05:2025:23:13:52,0.08%,Space,46.072
13:05:2025:23:13:52,0.08%,Space,47.406
13:05:2025:23:13:52,0.15%,Space,47.497
13:05:2025:23:13:52,0.18%,Space,47.258
13:05:2025:23:13:52,0.00%,Space,45.991
13:05:2025:23:13:52,0.00%,Space,47.661
13:05:2025:23:13:52,0.00%,Space,53.434
13:05:2025:23:13:52,0.00%,Space,47.871
13:05:2025:23:13:52,0.00%,Space,46.373
13:05:2025:23:13:52,0.00%,Space,48.372
13:05:2025:23:13:52,0.08%,Space,49.648
13:05:2025:23:13:52,0.08%,Space,48.376
13:05:2025:23:13:52,0.10%,Space,44.937
13:05:2025:23:13:52,0.31%,Space,47.765
13:05:2025:23:13:52,0.00%,Space,47.135
