Timestamp,Stress Probability (%),Key Pressed,Latency (ms)
13:05:2025:23:13:52,0.00%,Space,48.185
13:05:2025:23:13:52,31.64%,Space,51.722
13:05:2025:23:13:52,86.95%,W,48.123
13:05:2025:23:13:52,65.63%,,47.485
13:05:2025:23:13:52,0.00%,Space,45.420
13:05:2025:23:13:52,0.20%,Space,48.168
13:05:2025:23:13:52,0.09%,Space,47.054
13:05:2025:23:13:52,0.71%,Space,56.137
13:05:2025:23:13:52,0.56%,Space,46.624
13:05:2025:23:13:52,0.59%,Space,46.396
13:05:2025:23:13:52,0.00%,Space,50.107
13:05:2025:23:13:52,0.00%,Space,49.565
13:05:2025:23:13:52,92.32%,W,48.887
13:05:2025:23:13:52,57.54%,,47.148
13:05:2025:23:13:52,0.00%,Space,47.816
13:05:2025:23:13:52,0.10%,Space,48.103
13:05:2025:23:13:52,0.09%,Space,48.604
13:05:2025:23:13:52,0.65%,Space,47.133
13:05:2025:23:13:52,0.60%,Space,72.536
13:05:2025:23:13:52,0.57%,Space,54.256
13:05:2025:23:13:52,0.00%,Space,160.101
13:05:2025:23:13:52,0.00%,Space,46.180
13:05:2025:23:13:52,64.16%,W,46.396
13:05:2025:23:13:52,67.16%,,45.839
13:05:2025:23:13:52,0.00%,Space,46.446
13:05:2025:23:13:52,0.04%,Space,50.609
13:05:2025:23:13:52,0.60%,Space,46.754
13:05:2025:23:13:52,0.70%,Space,47.443
13:05:2025:23:13:52,0.00%,Space,46.219
13:05:2025:23:13:52,62.35%,W,52.121
13:05:2025:23:13:52,45.99%,Space,44.680
13:05:2025:23:13:52,0.00%,Space,45.730
13:05:2025:23:13:52,0.00%,Space,46.172
13:05:2025:23:13:52,0.00%,Space,49.301
13:05:2025:23:13:52,0.25%,Space,48.598
13:05:2025:23:13:52,0.70%,Space,45.380
13:05:2025:23:13:52,0.62%,Space,51.546
13:05:2025:23:13:52,0.68%,Space,48.556
13:05:2025:23:13:52,0.00%,Space,57.644
13:05:2025:23:13:52,0.00%,Space,48.052
13:05:2025:23:13:52,96.99%,W,48.499
13:05:2025:23:13:52,0.00%,Space,44.324
13:05:2025:23:13:52,0.03%,Space,49.381
